Rendeles_Id;Login;Nev;E-mail;Szul_datum;Telefon;Cim;Rend_ideje;Rendelt termek
1;Magön;Magyar Ödön;magyar.ödön@hotmail.hu;2000.02.06;+36-43-436-9137;5137 Jászkisér, Rákóczi utca 67.;2020.11.05;Bicikli
2;Debma;Debreceni Alma;debreceni.alma@sulinet.hu;1994.10.03;+36-45-932-6727;7100 Szekszárd, Kossuth utca 77.;2020.11.06;Számítógép
3;Péctó;Péchy Renátó;péchy.renátó@yahoo.com;1993.05.19;+36-85-251-3789;5200 Törökszentmiklós, Deák Ferenc út 5.;2020.11.07;Számítógép
4;Tótia;Tóth Szidónia;tóth.szidónia@outlook.com;1992.04.03;+36-53-270-1908;5537 Zsadány, Fõ út 18.;2020.11.08;Játékautó
5;Hajön;Hajdu Ödön;hajdu.ödön@sulinet.hu;1999.07.26;+36-46-851-9439;6080 Szabadszállás, Bécsi utca 82.;2020.11.09;Játékautó
6;Nagrd;Nagy Szilárd;nagy.szilárd@gmail.com;1995.02.14;+36-64-981-9319;9023 Gyõr, Arany János utca 1.;2020.11.10;Labda
7;Kovön;Kovács Ödön;kovács.ödön@outlook.com;1995.04.11;+36-49-312-3198;1173 Budapest, Jászai tér 21.;2020.11.11;Labda
8;Hajma;Hajdu Alma;hajdu.alma@t-online.hu;1990.12.26;+36-12-601-1013;5931 Nagyszénás, Árpád utca 23.;2020.11.12;Könyv
9;Nagul;Nagy Ubul;nagy.ubul@yahoo.com;1994.05.11;+36-53-838-4503;5878 Budapest fõ út 6;2020.11.13;Könyv
10;Magid;Magyar Dávid;magyar.dávid@hotmail.hu;1999.01.25;+36-52-307-7874;5138 Budapest, Rákóczi utca 67.;2020.11.14;Könyv
11;Hajön;Hajdu Ödön;hajdu.ödön@hotmail.hu;1999.07.18;+36-87-366-6919;7101 Budapest, Kossuth utca 77.;2020.11.15;Laptop
12;Pécgy;Péchy György;péchy.györgy@gmail.com;1990.05.27;+36-72-554-4752;5201 Budapest, Deák Ferenc út 5.;2020.11.16;Lámpa
13;Hajid;Hajdu Dávid;hajdu.dávid@yahoo.com;1999.12.22;+36-78-933-6873;5538 Budapest, Fõ út 18.;2020.11.17;Bicikli
14;Lángy;Láncz György;láncz.györgy@sulinet.hu;1997.06.25;+36-84-571-9986;5201 Budapest, Deák Ferenc út 14.;2020.11.18;Bicikli
15;Magön;Magyar Ödön;magyar.ödön@hotmail.hu;2000.02.06;+36-43-436-9137;5137 Jászkisér, Rákóczi utca 67.;2020.11.19;Könyv
16;Nagrd;Nagy Szilárd;nagy.szilárd@gmail.com;1995.02.14;+36-64-981-9319;9023 Gyõr, Arany János utca 1.;2020.11.20;Bicikli
17;Hajma;Hajdu Alma;hajdu.alma@t-online.hu;1990.12.26;+36-12-601-1013;5931 Nagyszénás, Árpád utca 23.;2020.11.21;Lámpa
